,URLS
256,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/speed-skating
257,https://olympics.com/en/olympic-games/sydney-2000/results/archery
258,https://olympics.com/en/olympic-games/sydney-2000/results/athletics
259,https://olympics.com/en/olympic-games/sydney-2000/results/badminton
260,https://olympics.com/en/olympic-games/sydney-2000/results/basketball
261,https://olympics.com/en/olympic-games/sydney-2000/results/beach-volleyball
262,https://olympics.com/en/olympic-games/sydney-2000/results/boxing
263,https://olympics.com/en/olympic-games/sydney-2000/results/canoe-slalom
264,https://olympics.com/en/olympic-games/sydney-2000/results/cycling-mountain-bike
265,https://olympics.com/en/olympic-games/sydney-2000/results/cycling-road
266,https://olympics.com/en/olympic-games/sydney-2000/results/cycling-track
267,https://olympics.com/en/olympic-games/sydney-2000/results/diving
268,https://olympics.com/en/olympic-games/sydney-2000/results/fencing
269,https://olympics.com/en/olympic-games/sydney-2000/results/football
270,https://olympics.com/en/olympic-games/sydney-2000/results/handball
271,https://olympics.com/en/olympic-games/sydney-2000/results/hockey
272,https://olympics.com/en/olympic-games/sydney-2000/results/judo
273,https://olympics.com/en/olympic-games/sydney-2000/results/modern-pentathlon
274,https://olympics.com/en/olympic-games/sydney-2000/results/rowing
275,https://olympics.com/en/olympic-games/sydney-2000/results/sailing
276,https://olympics.com/en/olympic-games/sydney-2000/results/shooting
277,https://olympics.com/en/olympic-games/sydney-2000/results/swimming
278,https://olympics.com/en/olympic-games/sydney-2000/results/table-tennis
279,https://olympics.com/en/olympic-games/sydney-2000/results/taekwondo
280,https://olympics.com/en/olympic-games/sydney-2000/results/tennis
281,https://olympics.com/en/olympic-games/sydney-2000/results/trampoline
282,https://olympics.com/en/olympic-games/sydney-2000/results/triathlon
283,https://olympics.com/en/olympic-games/sydney-2000/results/volleyball
284,https://olympics.com/en/olympic-games/sydney-2000/results/water-polo
285,https://olympics.com/en/olympic-games/sydney-2000/results/weightlifting
286,https://olympics.com/en/olympic-games/sydney-2000/results/wrestling
287,https://olympics.com/en/olympic-games/nagano-1998/results/alpine-skiing
288,https://olympics.com/en/olympic-games/nagano-1998/results/biathlon
289,https://olympics.com/en/olympic-games/nagano-1998/results/bobsleigh
290,https://olympics.com/en/olympic-games/nagano-1998/results/cross-country-skiing
291,https://olympics.com/en/olympic-games/nagano-1998/results/curling
292,https://olympics.com/en/olympic-games/nagano-1998/results/figure-skating
293,https://olympics.com/en/olympic-games/nagano-1998/results/freestyle-skiing
294,https://olympics.com/en/olympic-games/nagano-1998/results/ice-hockey
295,https://olympics.com/en/olympic-games/nagano-1998/results/luge
296,https://olympics.com/en/olympic-games/nagano-1998/results/nordic-combined
297,https://olympics.com/en/olympic-games/nagano-1998/results/short-track-speed-skating
298,https://olympics.com/en/olympic-games/nagano-1998/results/ski-jumping
299,https://olympics.com/en/olympic-games/nagano-1998/results/snowboard
300,https://olympics.com/en/olympic-games/nagano-1998/results/speed-skating
301,https://olympics.com/en/olympic-games/atlanta-1996/results/archery
302,https://olympics.com/en/olympic-games/atlanta-1996/results/athletics
303,https://olympics.com/en/olympic-games/atlanta-1996/results/badminton
304,https://olympics.com/en/olympic-games/atlanta-1996/results/basketball
305,https://olympics.com/en/olympic-games/atlanta-1996/results/beach-volleyball
306,https://olympics.com/en/olympic-games/atlanta-1996/results/boxing
307,https://olympics.com/en/olympic-games/atlanta-1996/results/canoe-slalom
308,https://olympics.com/en/olympic-games/atlanta-1996/results/cycling-mountain-bike
309,https://olympics.com/en/olympic-games/atlanta-1996/results/cycling-road
310,https://olympics.com/en/olympic-games/atlanta-1996/results/cycling-track
311,https://olympics.com/en/olympic-games/atlanta-1996/results/diving
312,https://olympics.com/en/olympic-games/atlanta-1996/results/fencing
313,https://olympics.com/en/olympic-games/atlanta-1996/results/football
314,https://olympics.com/en/olympic-games/atlanta-1996/results/handball
315,https://olympics.com/en/olympic-games/atlanta-1996/results/hockey
316,https://olympics.com/en/olympic-games/atlanta-1996/results/judo
317,https://olympics.com/en/olympic-games/atlanta-1996/results/modern-pentathlon
318,https://olympics.com/en/olympic-games/atlanta-1996/results/rowing
319,https://olympics.com/en/olympic-games/atlanta-1996/results/sailing
320,https://olympics.com/en/olympic-games/atlanta-1996/results/shooting
321,https://olympics.com/en/olympic-games/atlanta-1996/results/swimming
322,https://olympics.com/en/olympic-games/atlanta-1996/results/table-tennis
323,https://olympics.com/en/olympic-games/atlanta-1996/results/tennis
324,https://olympics.com/en/olympic-games/atlanta-1996/results/volleyball
325,https://olympics.com/en/olympic-games/atlanta-1996/results/water-polo
326,https://olympics.com/en/olympic-games/atlanta-1996/results/weightlifting
327,https://olympics.com/en/olympic-games/atlanta-1996/results/wrestling
328,https://olympics.com/en/olympic-games/lillehammer-1994/results/alpine-skiing
329,https://olympics.com/en/olympic-games/lillehammer-1994/results/biathlon
330,https://olympics.com/en/olympic-games/lillehammer-1994/results/bobsleigh
331,https://olympics.com/en/olympic-games/lillehammer-1994/results/cross-country-skiing
332,https://olympics.com/en/olympic-games/lillehammer-1994/results/figure-skating
333,https://olympics.com/en/olympic-games/lillehammer-1994/results/freestyle-skiing
334,https://olympics.com/en/olympic-games/lillehammer-1994/results/ice-hockey
335,https://olympics.com/en/olympic-games/lillehammer-1994/results/luge
336,https://olympics.com/en/olympic-games/lillehammer-1994/results/nordic-combined
337,https://olympics.com/en/olympic-games/lillehammer-1994/results/short-track-speed-skating
338,https://olympics.com/en/olympic-games/lillehammer-1994/results/ski-jumping
339,https://olympics.com/en/olympic-games/lillehammer-1994/results/speed-skating
340,https://olympics.com/en/olympic-games/albertville-1992/results/alpine-skiing
341,https://olympics.com/en/olympic-games/albertville-1992/results/biathlon
342,https://olympics.com/en/olympic-games/albertville-1992/results/bobsleigh
343,https://olympics.com/en/olympic-games/albertville-1992/results/cross-country-skiing
344,https://olympics.com/en/olympic-games/albertville-1992/results/figure-skating
345,https://olympics.com/en/olympic-games/albertville-1992/results/freestyle-skiing
346,https://olympics.com/en/olympic-games/albertville-1992/results/ice-hockey
347,https://olympics.com/en/olympic-games/albertville-1992/results/luge
348,https://olympics.com/en/olympic-games/albertville-1992/results/nordic-combined
